order_id,order_date,category,product_name,quantity,unit_price,total_sales,region
59,2023-02-13,Home & Garden,Lamp,2,360.35,720.7,North
60,2023-05-05,Clothing,T-Shirt,4,277.49,1109.96,East
61,2023-04-23,Books,Novel,6,62.09,372.54,North
62,2023-05-31,Books,Comic,7,491.49,3440.43,West
63,2023-04-21,Home & Garden,Lamp,2,363.04,726.08,North
64,2023-10-06,Sports,Tennis Racket,1,160.9,160.9,West
65,2023-09-17,Electronics,Smartphone,6,312.0,1872.0,East
66,2023-09-16,Sports,Tennis Racket,10,313.16,3131.6,East
67,2023-05-03,Electronics,Smartphone,3,261.12,783.36,North
68,2023-11-07,Electronics,Smartphone,8,248.86,1990.88,West
69,2023-01-11,Home & Garden,Desk,4,78.21,312.84,East
70,2023-06-29,Sports,Yoga Mat,1,286.2,286.2,West
71,2023-09-15,Sports,Dumbbells,1,236.05,236.05,East
72,2023-02-20,Electronics,Smartphone,4,199.5,798.0,North
73,2023-09-02,Clothing,Jacket,5,77.95,389.75,South
74,2023-05-02,Books,Comic,5,165.75,828.75,South
75,2023-01-19,Sports,Yoga Mat,4,134.61,538.44,East
76,2023-07-28,Sports,Tennis Racket,3,337.16,1011.48,North
77,2023-10-16,Books,Textbook,6,426.55,2559.3,South
78,2023-06-23,Electronics,Headphones,1,354.26,354.26,North
79,2023-04-24,Clothing,Sneakers,5,28.53,142.65,North
80,2023-04-15,Clothing,Jeans,4,116.81,467.24,North
81,2023-10-23,Electronics,Smartphone,8,394.44,3155.52,West
82,2023-11-11,Books,Biography,5,306.93,1534.65,North
83,2023-11-30,Books,Biography,4,372.07,1488.28,West
84,2023-11-19,Home & Garden,Chair,2,436.91,873.82,North
85,2023-06-25,Clothing,Sneakers,6,43.85,263.1,South
86,2023-07-23,Sports,Tennis Racket,6,255.04,1530.24,West
87,2023-02-09,Clothing,Jeans,6,403.18,2419.08,North
88,2023-05-05,Home & Garden,Lamp,6,264.24,1585.44,East
89,2023-01-02,Sports,Dumbbells,7,475.62,3329.34,South
90,2023-08-11,Home & Garden,Blender,10,208.86,2088.6,West
91,2023-07-31,Electronics,Smartphone,9,126.97,1142.73,West
92,2023-06-14,Electronics,Headphones,6,406.1,2436.6,East
93,2023-11-06,Home & Garden,Lamp,4,91.26,365.04,South
94,2023-04-13,Clothing,Jeans,8,42.23,337.84,West
95,2023-02-10,Books,Biography,1,264.58,264.58,North
96,2023-06-09,Books,Novel,10,114.66,1146.6,South
97,2023-07-18,Sports,Bike,2,325.74,651.48,West
98,2023-09-23,Books,Comic,7,81.42,569.94,South
99,2023-06-12,Books,Textbook,5,61.72,308.6,North
100,2023-02-26,Sports,Tennis Racket,4,377.1,1508.4,South
101,2023-09-24,Sports,Dumbbells,9,61.81,556.29,North
102,2023-04-24,Sports,Dumbbells,6,483.88,2903.28,West
103,2023-07-07,Clothing,Sneakers,5,273.54,1367.7,West
104,2023-08-31,Books,Textbook,3,229.55,688.65,West
105,2023-02-24,Electronics,Smartphone,8,464.89,3719.12,East
106,2023-07-20,Clothing,Sneakers,2,13.31,26.62,West
107,2023-10-14,Clothing,Jacket,3,462.9,1388.7,North
108,2023-02-16,Home & Garden,Desk,9,73.74,663.66,East
109,2023-08-01,Clothing,Jeans,10,367.66,3676.6,North
110,2023-02-16,Home & Garden,Chair,10,39.35,393.5,East
111,2023-09-14,Electronics,Smartphone,7,409.03,2863.21,East
112,2023-04-02,Books,Textbook,10,464.32,4643.2,South
113,2023-05-11,Clothing,Jacket,3,436.83,1310.49,North
114,2023-07-14,Clothing,T-Shirt,7,38.36,268.52,East
115,2023-12-18,Home & Garden,Lamp,5,462.03,2310.15,South
116,2023-04-16,Home & Garden,Blender,8,380.42,3043.36,West
117,2023-10-27,Home & Garden,Chair,3,499.79,1499.37,East
118,2023-04-06,Clothing,Sneakers,5,364.68,1823.4,West
119,2023-11-24,Clothing,T-Shirt,2,468.79,937.58,East
120,2023-02-15,Sports,Dumbbells,6,51.57,309.42,North
121,2023-10-14,Books,Comic,5,362.24,1811.2,North
122,2023-05-17,Electronics,Smartphone,2,253.9,507.8,North
123,2023-07-19,Home & Garden,Lamp,8,196.84,1574.72,North
124,2023-08-27,Books,Textbook,3,453.22,1359.66,North
125,2023-08-29,Clothing,Jacket,5,352.94,1764.7,East
126,2023-11-14,Clothing,Jacket,3,415.94,1247.82,East
127,2023-01-31,Home & Garden,Lamp,7,221.84,1552.88,West
128,2023-09-04,Books,Biography,2,268.6,537.2,West
129,2023-09-16,Home & Garden,Desk,2,269.15,538.3,East
130,2023-01-15,Electronics,Headphones,10,356.65,3566.5,East
131,2023-12-20,Home & Garden,Blender,10,370.99,3709.9,North
132,2023-10-27,Clothing,Jeans,5,487.68,2438.4,West
133,2023-09-03,Books,Comic,3,135.08,405.24,North
134,2023-03-05,Electronics,Monitor,10,443.14,4431.4,North
135,2023-08-21,Electronics,Laptop,7,379.91,2659.37,North
136,2023-12-28,Books,Biography,3,84.78,254.34,East
137,2023-06-12,Electronics,Monitor,8,288.17,2305.36,South
138,2023-07-07,Books,Novel,5,449.99,2249.95,North
139,2023-10-19,Books,Textbook,10,479.91,4799.1,South
140,2023-06-18,Clothing,Jacket,8,113.13,905.04,South
141,2023-08-23,Clothing,Sneakers,3,387.54,1162.62,North
142,2023-08-31,Sports,Tennis Racket,2,107.93,215.86,South
143,2023-07-10,Home & Garden,Blender,7,212.02,1484.14,South
144,2023-12-30,Sports,Bike,6,155.09,930.54,South
145,2023-10-12,Electronics,Laptop,3,366.64,1099.92,North
146,2023-03-30,Clothing,Jacket,5,377.05,1885.25,South
147,2023-09-26,Electronics,Headphones,5,396.99,1984.95,West
148,2023-01-04,Clothing,Jeans,3,111.56,334.68,West
149,2023-03-02,Electronics,Laptop,1,52.13,52.13,West
150,2023-03-26,Clothing,Jacket,10,272.84,2728.4,South
151,2023-12-07,Home & Garden,Blender,9,167.28,1505.52,North
152,2023-10-26,Clothing,T-Shirt,2,168.02,336.04,North
153,2023-11-28,Home & Garden,Chair,2,231.39,462.78,West
154,2023-12-23,Electronics,Monitor,10,408.75,4087.5,West
155,2023-11-01,Electronics,Headphones,1,58.73,58.73,East
156,2023-04-12,Electronics,Monitor,8,235.87,1886.96,West
157,2023-01-29,Books,Novel,10,440.44,4404.4,North
158,2023-02-21,Electronics,Laptop,2,253.88,507.76,East
159,2023-08-11,Books,Comic,6,493.51,2961.06,South
160,2023-08-26,Clothing,T-Shirt,2,284.89,569.78,West
161,2023-10-13,Clothing,Jeans,10,167.81,1678.1,East
162,2023-09-15,Electronics,Laptop,10,369.95,3699.5,North
163,2023-12-22,Clothing,Jeans,1,174.86,174.86,North
164,2023-01-10,Sports,Dumbbells,10,149.76,1497.6,South
165,2023-09-30,Electronics,Smartphone,5,271.03,1355.15,North
166,2023-05-22,Sports,Yoga Mat,7,309.57,2166.99,East
167,2023-03-25,Sports,Yoga Mat,4,376.63,1506.52,East
168,2023-02-14,Sports,Dumbbells,8,169.04,1352.32,West
169,2023-11-24,Books,Comic,8,21.07,168.56,East
170,2023-06-18,Sports,Dumbbells,8,105.22,841.76,South
171,2023-10-13,Clothing,Sneakers,6,291.3,1747.8,South
172,2023-10-09,Books,Textbook,4,454.67,1818.68,West
173,2023-11-24,Electronics,Headphones,7,35.27,246.89,North
174,2023-11-22,Sports,Dumbbells,7,191.48,1340.36,West
175,2023-10-01,Clothing,Jeans,4,271.97,1087.88,North
176,2023-12-19,Home & Garden,Desk,4,282.27,1129.08,West
177,2023-08-02,Clothing,Sneakers,2,79.23,158.46,East
178,2023-08-19,Books,Biography,7,345.44,2418.08,North
179,2023-09-06,Electronics,Laptop,8,376.06,3008.48,West
180,2023-05-10,Books,Textbook,6,69.56,417.36,West
181,2023-05-22,Home & Garden,Lamp,7,247.95,1735.65,West
182,2023-02-10,Sports,Tennis Racket,5,52.03,260.15,East
183,2023-06-15,Sports,Yoga Mat,6,125.99,755.94,West
184,2023-11-02,Books,Biography,9,350.43,3153.87,West
185,2023-09-01,Electronics,Smartphone,7,423.74,2966.18,North
186,2023-07-07,Electronics,Monitor,7,372.88,2610.16,South
187,2023-09-01,Sports,Dumbbells,10,399.36,3993.6,West
188,2023-09-13,Home & Garden,Lamp,7,61.35,429.45,West
189,2023-10-03,Books,Biography,1,200.95,200.95,West
190,2023-03-07,Clothing,T-Shirt,9,132.83,1195.47,East
191,2023-04-14,Sports,Yoga Mat,2,298.2,596.4,North
192,2023-05-11,Clothing,Sneakers,5,319.54,1597.7,East
193,2023-04-15,Electronics,Monitor,7,81.32,569.24,North
194,2023-06-03,Sports,Tennis Racket,6,171.92,1031.52,North
195,2023-01-26,Books,Novel,3,212.58,637.74,South
196,2023-03-20,Clothing,Sneakers,8,50.39,403.12,North
197,2023-10-03,Electronics,Laptop,3,366.37,1099.11,South
198,2023-09-27,Clothing,T-Shirt,2,404.8,809.6,South
199,2023-10-03,Clothing,Jacket,10,468.52,4685.2,East
200,2023-11-18,Clothing,Sneakers,1,63.52,63.52,North
201,2023-05-03,Home & Garden,Chair,6,270.43,1622.58,West
202,2023-05-01,Books,Textbook,8,149.34,1194.72,South
203,2023-11-28,Electronics,Smartphone,3,155.22,465.66,North
204,2023-10-04,Home & Garden,Chair,8,486.59,3892.72,West
205,2023-08-05,Books,Textbook,8,175.14,1401.12,South
206,2023-10-09,Electronics,Laptop,10,15.55,155.5,West
207,2023-06-28,Electronics,Headphones,4,209.84,839.36,East
208,2023-11-21,Sports,Dumbbells,2,294.03,588.06,East
209,2023-02-17,Electronics,Smartphone,7,137.31,961.17,East
210,2023-12-12,Sports,Tennis Racket,7,276.69,1936.83,West
211,2023-10-27,Books,Novel,6,357.85,2147.1,North
212,2023-11-01,Home & Garden,Blender,8,247.98,1983.84,South
213,2023-03-05,Sports,Bike,9,417.64,3758.76,East
214,2023-02-03,Electronics,Headphones,2,167.17,334.34,West
215,2023-07-03,Home & Garden,Lamp,7,47.61,333.27,North
216,2023-07-11,Sports,Yoga Mat,7,51.01,357.07,North
217,2023-08-26,Sports,Tennis Racket,2,472.06,944.12,East
218,2023-04-07,Books,Textbook,2,331.46,662.92,South
219,2023-03-22,Home & Garden,Blender,10,126.33,1263.3,West
220,2023-03-28,Electronics,Smartphone,1,130.79,130.79,East
221,2023-10-04,Books,Textbook,7,106.96,748.72,North
222,2023-01-14,Sports,Yoga Mat,3,315.85,947.55,East
223,2023-03-08,Sports,Tennis Racket,9,238.59,2147.31,East
224,2023-01-20,Clothing,Sneakers,6,90.66,543.96,North
225,2023-03-15,Electronics,Headphones,4,189.45,757.8,North
226,2023-02-22,Electronics,Headphones,9,31.16,280.44,West
227,2023-01-04,Electronics,Laptop,1,91.66,91.66,North
228,2023-02-08,Electronics,Smartphone,3,134.3,402.9,North
229,2023-10-10,Clothing,Jacket,9,39.42,354.78,North
230,2023-02-05,Sports,Yoga Mat,3,376.21,1128.63,South
231,2023-10-18,Books,Novel,4,155.7,622.8,North
232,2023-11-21,Clothing,Jacket,8,435.57,3484.56,East
233,2023-11-01,Sports,Dumbbells,5,486.6,2433.0,South
234,2023-05-07,Sports,Tennis Racket,10,466.97,4669.7,South
235,2023-04-18,Sports,Tennis Racket,10,404.61,4046.1,South
236,2023-04-29,Sports,Bike,9,309.71,2787.39,North
237,2023-08-23,Sports,Yoga Mat,6,410.96,2465.76,South
238,2023-10-05,Home & Garden,Desk,5,29.91,149.55,East
239,2023-12-06,Sports,Bike,10,410.16,4101.6,South
240,2023-02-14,Electronics,Headphones,4,134.16,536.64,West
241,2023-10-04,Electronics,Laptop,9,330.01,2970.09,South
242,2023-10-11,Clothing,Jacket,5,127.39,636.95,East
243,2023-09-03,Sports,Bike,10,397.1,3971.0,West
244,2023-08-13,Electronics,Smartphone,10,164.23,1642.3,East
245,2023-09-11,Home & Garden,Lamp,1,466.78,466.78,South
246,2023-07-15,Books,Textbook,10,394.01,3940.1,North
247,2023-03-04,Electronics,Monitor,7,53.89,377.23,East
248,2023-06-16,Home & Garden,Chair,6,53.27,319.62,West
249,2023-03-27,Electronics,Smartphone,2,88.69,177.38,South
250,2023-09-20,Sports,Tennis Racket,10,36.25,362.5,South
251,2023-03-20,Books,Biography,6,72.06,432.36,South
252,2023-12-21,Books,Biography,6,383.49,2300.94,North
253,2023-04-04,Sports,Tennis Racket,3,123.78,371.34,South
254,2023-02-15,Home & Garden,Chair,2,262.41,524.82,South
255,2023-07-21,Electronics,Headphones,7,392.86,2750.02,West
256,2023-09-30,Books,Comic,1,326.84,326.84,East
257,2023-04-07,Electronics,Smartphone,6,65.07,390.42,North
258,2023-07-10,Sports,Dumbbells,10,144.31,1443.1,North
259,2023-01-15,Home & Garden,Lamp,1,118.36,118.36,West
260,2023-10-10,Electronics,Laptop,6,234.42,1406.52,West
261,2023-07-11,Books,Biography,2,477.87,955.74,West
262,2023-09-07,Electronics,Headphones,6,82.52,495.12,West
263,2023-06-21,Books,Textbook,7,487.18,3410.26,North
264,2023-09-01,Sports,Yoga Mat,6,23.47,140.82,East
265,2023-07-27,Books,Biography,7,434.06,3038.42,South
266,2023-06-08,Home & Garden,Lamp,1,251.31,251.31,East
267,2023-03-10,Sports,Tennis Racket,6,219.09,1314.54,North
268,2023-09-03,Electronics,Smartphone,6,51.41,308.46,East
269,2023-01-17,Electronics,Smartphone,1,128.83,128.83,North
270,2023-01-02,Home & Garden,Blender,1,279.88,279.88,North
271,2023-08-08,Home & Garden,Lamp,1,163.39,163.39,North
272,2023-03-27,Sports,Yoga Mat,9,10.98,98.82,West
273,2023-05-02,Home & Garden,Desk,3,261.4,784.2,South
274,2023-03-02,Clothing,T-Shirt,8,226.08,1808.64,West
275,2023-12-10,Clothing,T-Shirt,5,434.93,2174.65,South
276,2023-06-11,Home & Garden,Lamp,10,158.14,1581.4,South
277,2023-05-04,Books,Novel,2,152.13,304.26,South
278,2023-07-10,Electronics,Smartphone,4,362.75,1451.0,North
279,2023-07-11,Sports,Dumbbells,3,270.18,810.54,West
280,2023-05-21,Sports,Yoga Mat,6,62.25,373.5,North
281,2023-08-20,Home & Garden,Chair,6,248.26,1489.56,West
282,2023-01-24,Electronics,Monitor,3,389.23,1167.69,East
283,2023-06-02,Sports,Dumbbells,4,89.24,356.96,North
284,2023-10-29,Home & Garden,Blender,1,337.24,337.24,South
285,2023-05-06,Clothing,Jeans,8,366.25,2930.0,North
286,2023-07-10,Electronics,Monitor,3,118.44,355.32,South
287,2023-04-05,Books,Biography,10,499.77,4997.7,East
288,2023-08-24,Electronics,Headphones,9,324.24,2918.16,South
289,2023-02-12,Clothing,Sneakers,9,270.97,2438.73,West
290,2023-04-09,Home & Garden,Chair,10,24.1,241.0,North
291,2023-04-15,Electronics,Laptop,9,164.62,1481.58,East
292,2023-06-30,Electronics,Laptop,7,120.38,842.66,South
293,2023-12-04,Clothing,Sneakers,6,32.46,194.76,East
294,2023-11-24,Electronics,Smartphone,7,407.25,2850.75,North
295,2023-12-18,Sports,Tennis Racket,9,222.83,2005.47,East
296,2023-05-13,Sports,Dumbbells,8,69.96,559.68,West
297,2023-11-22,Home & Garden,Lamp,10,376.81,3768.1,East
298,2023-02-24,Sports,Dumbbells,1,150.97,150.97,West
299,2023-07-24,Books,Comic,10,278.04,2780.4,West
300,2023-12-14,Books,Biography,8,320.47,2563.76,South
301,2023-11-17,Electronics,Smartphone,1,356.18,356.18,West
302,2023-12-18,Clothing,Jacket,6,133.51,801.06,East
303,2023-10-24,Books,Biography,4,47.83,191.32,East
304,2023-10-23,Books,Biography,6,33.42,200.52,South
305,2023-01-15,Home & Garden,Chair,8,489.27,3914.16,South
306,2023-04-07,Sports,Yoga Mat,2,325.57,651.14,West
307,2023-04-13,Books,Comic,3,425.83,1277.49,North
308,2023-01-09,Sports,Yoga Mat,2,142.38,284.76,West
309,2023-12-06,Home & Garden,Blender,1,440.72,440.72,West
310,2023-09-14,Sports,Dumbbells,5,195.71,978.55,East
311,2023-08-16,Sports,Dumbbells,3,436.14,1308.42,East
312,2023-10-18,Sports,Tennis Racket,1,172.88,172.88,East
313,2023-01-28,Electronics,Monitor,2,219.84,439.68,South
314,2023-02-19,Clothing,Jacket,8,171.43,1371.44,North
315,2023-02-22,Home & Garden,Blender,6,13.17,79.02,West
316,2023-07-10,Home & Garden,Blender,2,115.83,231.66,East
317,2023-06-17,Sports,Yoga Mat,9,436.27,3926.43,East
318,2023-11-14,Sports,Dumbbells,3,415.66,1246.98,North
319,2023-04-21,Books,Novel,5,154.97,774.85,East
320,2023-03-22,Clothing,Jeans,10,233.95,2339.5,North
321,2023-06-03,Books,Comic,2,109.31,218.62,North
322,2023-07-09,Electronics,Smartphone,6,497.87,2987.22,East
323,2023-07-22,Electronics,Headphones,8,414.17,3313.36,North
324,2023-07-14,Sports,Bike,1,466.22,466.22,South
325,2023-08-04,Home & Garden,Chair,6,434.53,2607.18,South
326,2023-03-14,Books,Textbook,9,151.62,1364.58,West
327,2023-06-25,Books,Textbook,3,438.07,1314.21,North
328,2023-11-04,Clothing,T-Shirt,2,10.72,21.44,South
329,2023-05-03,Sports,Bike,10,486.48,4864.8,East
330,2023-02-06,Sports,Bike,9,119.83,1078.47,West
331,2023-07-04,Sports,Dumbbells,6,345.68,2074.08,South
332,2023-02-15,Clothing,T-Shirt,7,359.83,2518.81,South
333,2023-12-25,Electronics,Monitor,1,438.5,438.5,North
334,2023-07-27,Electronics,Laptop,6,284.05,1704.3,South
335,2023-11-08,Clothing,Jacket,6,303.74,1822.44,North
336,2023-04-01,Electronics,Smartphone,1,497.83,497.83,North
337,2023-12-16,Clothing,Sneakers,2,42.95,85.9,East
338,2023-06-12,Home & Garden,Chair,4,249.64,998.56,West
339,2023-01-27,Clothing,Sneakers,10,239.28,2392.8,West
340,2023-03-29,Clothing,T-Shirt,5,351.89,1759.45,North
341,2023-07-13,Home & Garden,Lamp,5,132.31,661.55,West
342,2023-10-30,Electronics,Smartphone,6,403.59,2421.54,East
343,2023-07-31,Sports,Dumbbells,7,335.52,2348.64,East
344,2023-09-19,Clothing,Jacket,8,346.2,2769.6,North
345,2023-01-06,Clothing,Sneakers,10,114.56,1145.6,East
346,2023-02-23,Electronics,Smartphone,6,257.03,1542.18,East
347,2023-05-11,Sports,Dumbbells,5,386.03,1930.15,South
348,2023-08-02,Sports,Bike,9,183.44,1650.96,West
349,2023-10-13,Home & Garden,Lamp,4,433.47,1733.88,North
350,2023-07-14,Clothing,Sneakers,1,489.87,489.87,East
351,2023-03-26,Electronics,Headphones,7,46.0,322.0,South
352,2023-07-04,Clothing,Sneakers,3,437.58,1312.74,East
353,2023-11-25,Sports,Tennis Racket,5,234.36,1171.8,North
354,2023-11-03,Electronics,Headphones,10,136.85,1368.5,South
355,2023-04-29,Electronics,Laptop,2,203.62,407.24,East
356,2023-05-07,Sports,Dumbbells,2,388.77,777.54,North
357,2023-07-03,Home & Garden,Lamp,7,387.74,2714.18,East
358,2023-02-06,Electronics,Monitor,10,468.45,4684.5,East
359,2023-09-29,Clothing,T-Shirt,6,313.75,1882.5,North
360,2023-08-27,Sports,Yoga Mat,8,16.31,130.48,North
361,2023-02-17,Clothing,Jacket,10,331.55,3315.5,North
362,2023-09-04,Sports,Yoga Mat,4,143.25,573.0,North
363,2023-01-24,Sports,Dumbbells,1,196.38,196.38,North
364,2023-01-23,Home & Garden,Lamp,7,255.66,1789.62,East
365,2023-06-05,Clothing,Jeans,6,90.84,545.04,West
366,2023-05-13,Clothing,Jeans,3,319.34,958.02,East
367,2023-12-18,Books,Biography,4,409.67,1638.68,East
368,2023-11-02,Clothing,Jeans,3,140.0,420.0,North
369,2023-12-26,Clothing,Jeans,6,13.22,79.32,West
370,2023-01-28,Books,Textbook,6,240.27,1441.62,West
371,2023-02-14,Sports,Tennis Racket,5,384.2,1921.0,South
372,2023-12-03,Clothing,Jacket,6,204.45,1226.7,South
373,2023-01-14,Electronics,Monitor,3,334.72,1004.16,North
374,2023-02-09,Sports,Tennis Racket,10,351.06,3510.6,East
375,2023-11-21,Electronics,Laptop,7,162.93,1140.51,North
376,2023-09-12,Electronics,Smartphone,4,30.58,122.32,North
377,2023-11-13,Home & Garden,Lamp,7,59.9,419.3,North
378,2023-07-21,Books,Novel,5,124.71,623.55,North
379,2023-04-08,Books,Comic,9,174.42,1569.78,East
380,2023-05-20,Books,Novel,8,343.28,2746.24,North
381,2023-10-27,Electronics,Monitor,10,183.83,1838.3,North
382,2023-06-13,Books,Novel,7,135.46,948.22,North
383,2023-06-25,Clothing,Jacket,3,79.88,239.64,North
384,2023-12-10,Home & Garden,Lamp,5,271.44,1357.2,South
385,2023-07-19,Sports,Dumbbells,10,147.57,1475.7,East
386,2023-03-21,Home & Garden,Lamp,9,487.71,4389.39,South
387,2023-03-06,Electronics,Laptop,10,42.44,424.4,North
388,2023-02-10,Electronics,Monitor,9,202.68,1824.12,East
389,2023-01-26,Sports,Yoga Mat,10,226.36,2263.6,West
390,2023-03-25,Electronics,Smartphone,9,185.09,1665.81,East
391,2023-05-27,Home & Garden,Chair,4,343.42,1373.68,North
392,2023-09-04,Electronics,Monitor,5,361.62,1808.1,South
393,2023-12-22,Clothing,Jacket,8,212.06,1696.48,West
394,2023-04-12,Home & Garden,Chair,6,45.55,273.3,North
395,2023-07-24,Books,Textbook,8,336.11,2688.88,South
396,2023-10-11,Books,Comic,5,138.97,694.85,West
397,2023-06-23,Clothing,Sneakers,10,40.77,407.7,North
398,2023-02-18,Electronics,Monitor,9,231.3,2081.7,West
399,2023-08-14,Home & Garden,Desk,6,205.22,1231.32,West
400,2023-06-29,Clothing,Jeans,5,271.2,1356.0,East
401,2023-07-05,Sports,Dumbbells,7,104.21,729.47,West
402,2023-02-22,Electronics,Smartphone,4,193.1,772.4,South
403,2023-10-08,Sports,Yoga Mat,1,424.84,424.84,West
404,2023-09-08,Electronics,Headphones,7,218.04,1526.28,West
405,2023-08-06,Sports,Yoga Mat,3,227.45,682.35,South
406,2023-12-19,Sports,Tennis Racket,8,170.37,1362.96,North
407,2023-11-18,Electronics,Monitor,9,101.62,914.58,North
408,2023-01-20,Electronics,Headphones,10,497.15,4971.5,South
409,2023-12-14,Home & Garden,Chair,4,325.84,1303.36,West
410,2023-02-19,Home & Garden,Lamp,7,65.46,458.22,West
411,2023-02-09,Clothing,T-Shirt,3,478.47,1435.41,North
412,2023-07-13,Electronics,Headphones,8,187.24,1497.92,East
413,2023-11-18,Books,Textbook,8,34.72,277.76,South
414,2023-12-23,Electronics,Monitor,3,413.1,1239.3,South
415,2023-01-06,Clothing,T-Shirt,8,130.65,1045.2,South
416,2023-12-25,Clothing,Jeans,4,249.3,997.2,North
417,2023-08-28,Books,Textbook,10,319.3,3193.0,North
418,2023-03-04,Books,Textbook,8,432.89,3463.12,West
419,2023-03-14,Books,Biography,4,429.56,1718.24,West
420,2023-10-24,Sports,Dumbbells,9,387.15,3484.35,East
421,2023-10-15,Clothing,T-Shirt,5,384.98,1924.9,North
422,2023-01-04,Electronics,Laptop,10,263.28,2632.8,West
423,2023-07-12,Clothing,Sneakers,9,137.04,1233.36,South
424,2023-08-12,Electronics,Headphones,9,301.52,2713.68,West
425,2023-02-25,Books,Novel,6,275.67,1654.02,North
426,2023-11-11,Electronics,Monitor,1,441.19,441.19,East
427,2023-01-14,Home & Garden,Chair,6,98.63,591.78,West
428,2023-01-17,Home & Garden,Desk,9,163.58,1472.22,West
429,2023-06-13,Electronics,Smartphone,1,112.5,112.5,East
430,2023-06-20,Sports,Yoga Mat,10,364.57,3645.7,South
431,2023-05-02,Electronics,Monitor,4,29.32,117.28,West
432,2023-01-14,Clothing,Sneakers,3,188.04,564.12,East
433,2023-02-12,Electronics,Monitor,3,90.87,272.61,South
434,2023-06-08,Clothing,T-Shirt,9,164.94,1484.46,South
435,2023-09-25,Books,Biography,3,348.87,1046.61,North
436,2023-12-31,Books,Novel,3,443.64,1330.92,West
437,2023-02-10,Electronics,Smartphone,1,315.35,315.35,South
438,2023-08-06,Books,Textbook,2,15.51,31.02,West
439,2023-04-25,Sports,Tennis Racket,10,252.63,2526.3,East
